Anaesthetics,74,29400,75
Analgesics,12,3600,50
Anti-allergics,67,11850,150
Anti-infective medicines,3209,48018,8750
Anticonvulsants/antiepileptics,415,26325,1240
Antidotes,6,9000,20
Cardiovascular medicines,257,11940,2020
Dermatological medicines,12,6000,30
Disinfectants and antiseptics,8750,8750,12000
Diuretics,23,9150,220
Gastrointestinal medicines,66,13860,550
Guidelines for IHEK 2011 users,2,500,6
"Medical devices, equipment",40,150750,134
"Medical devices, renewable",2671,458370,11533
Medicines,2916,67294,12484
Stationary,1522,22485,3024
