Anaesthetics,24,14100,75
Analgesics,2,600,50
Anti-allergics,12,3600,150
Anti-infective medicines,2957,51953,8750
Anticonvulsants/antiepileptics,577,16575,1240
Antidotes,4,6000,20
Cardiovascular medicines,241,3615,2020
Dermatological medicines,11,5500,30
Disinfectants and antiseptics,22,22,12000
Diuretics,211,23250,220
Gastrointestinal medicines,256,7680,550
Guidelines for IHEK 2011 users,1,250,6
"Medical devices, equipment",5,225000,134
"Medical devices, renewable",1317,143775,11533
Medicines,5671,92885,12484
Stationary,1014,10390,3024
